texto,is_offensive,label
USER A Folha desde sempre apoiando a DITADURA e apoiando FASCISTAS que até se esquece de falar sobre seus ESCÂNDALOS como EMPRESTAR CARROS para a DITADURA ir TORTURAR PESSOAS. A Folha GOLPISTA nunca faz uma “autocrítica” URL,OFF,1
"Não é vingativo? Kkkkk, USER , só é covarde. USER",OFF,1
"última vez que eu pisei em Tamandaré deu uma merda do crl e eu prometi que não ia mais vir pra esse buraco, aí hj eu vim dnv e dnv deu uma merda do crl KKKKKKKKK lugarzinho da porra vsf",OFF,1
"USER Son los aviones de combate más modernos que tenemos, ineptos. Y no los compraron ustedes. No compraron ni un planeador, corruptos",OFF,1
USER 🌐 o silêncio é o que mais mata,OFF,1
"USER USER Tche, ta com inveja da melhor regiao do país, pia azedo? 🤣🤣🤣 Fala isso perto da gurizada pra ver o que acontece cntg, bostinha. O facao ja ta afiado, mlhr tu ti atipa daqui!¡",OFF,1
E os machos q ficavam desmerecendo ela lá por ela ser negra e acima do peso vcs n ligam?,OFF,1
"USER bolsonaro, como se sente sabendo que é um merdinha e foi humilhado por gente foda? você é um bostinha, smttttttttttt",OFF,1
"Oque um idiota pode fazer em... Por isso minha mãe sempre me disse: selecione bem suas amizades... Só espero que o tal USER pague com a justiça pelo que ele incitou... Espero que a USER e o USER da Justiça façam a parte deles com a fala do abençoado USER! Exatamente oque o especialista disse... O nazismo pregava o arianismo... Acredito que o USER não tenha nem se quer tenha lido o que falou... Ou realmente ele é um criminoso (e ele realmente cometeu diversos crimes c a fala dele) que não tá nem aí pra quem sofreu com o nazismo! Existe algo chamado de ética (conjuntos de normas e valores) que fazem o mundo dar certo... O que o USER não entendeu nos seus 30 e poucos anos de vida é que se ele tem fala ou tinha, é graças a essa ética que existe no mundo, graças a esse conjunto de normas e valores!",OFF,1
USER tentando defender a Anitta só para conseguir uma entrevista???? Tudo que você já falou sobre “especialistas” vai por água abaixo depois os tweets que fez… Que vergonha,OFF,1
parabe´ns cara vc é USER fodah,OFF,1
Para Jojo que tá feio só que aparece,OFF,1
USER o teste de dna dela deu 100% portuguesa caralho etc,OFF,1
Se ele não tivesse respeito por uma mulher ele xingava ela agora na cara dela como muitos fazem! Parabéns USER,OFF,1
"Parabéns MonarZI por revelar seu caráter e ""opinião"" USER com palavras lindas. Já que USER acha que tudo se pode FAZER. Podemos da um tiro na sua cabeça? Todos têm direito de fazer tudo certo MonarZI? Tenho direito de te destruir? Certo? USER do Brasil pois no que USER acredita que Tudo se pode, até mesmo ser USER. USER também tem direito certo? Maior otário seu MonarZI.",OFF,1
"vampiro que brilha no sol??? USER ""depilado"" a namorada do cara dormindo com outro e o USER falar q tá feliz com isso?? como o felipe USER mesmo fala:"" Que porra é essa??"" USER é ridículo. a sthephany USER ""tentou"" distorcer a figura do vampiro e do USER pra algo + feminino. e isso resultou em uma história totalmente absurda. quando lançou o livro (ou filme) fui assistir pensando que veria um ""vampiro"" e ""USER"" de verdade!! decepcionei geral ao ver a distorção que ela fez.",OFF,1
"USER você errou feio cara, mas não irei te massacrar. Todos nós erramos cara. Segue em frente, levanta a cabeça. Boa sorte",OFF,1
O povo burro é esse do Brasil!!! Invés de ficar perdendo tempo discutindo quem tá certo ou errado tínhamos que focar na pandemia!!! Esse povo da ESQUERDA E DIREITA não entende que esse não é momento pra ficar brigando e fazendo manifestações !! Depois pega a merda do vírus vai dar trabalho pra um pai ou mãe que não pode ir pra casa direito pois tem que ficar trabalhando dobrado em hospitais!! Vamos respeitar a quarentena!!parem de comer capim um pouco!!,OFF,1
"USER merda, ridículo essa imposição. Pior ainda utilizando-se de crianças",OFF,1
Só mongolóide no vip HASHTAG,OFF,1
Chora USER kkkkkk,OFF,1
Esse bicho é doido..,OFF,1
"USER USER tava ate indo bem até eu ler a palavra ""macho"" ... como se fosse errado ser homem. essa merda desse femimismo só apodrece mentes",OFF,1
"Caraca acordar assim tá pior que aqui em casa kkkkk a cara do maluco, da vontade de enfiar a mão na cara dele apesar que não estou mais pra briga!😨😬😮",OFF,1
"RT USER: usted no puede criticar a alguien si usted también tiene rabo que le majen, siéntese mejor",OFF,1
"Q nojo dessa mulher kkk, educação 0",OFF,1
"RT USER: Este man si es atrevido, dice eso de fico pero se le olvida que su mesías alias aureliano es un narco genocida y terrorista…",OFF,1
"USER USER Meu amigo, o problema é numa puta de uma crise com um fucking vírus rolando e o USER chamando a galera pras ruas............ USER ??????????????????? Que tipo de presidente é esse ? Um cara que não tem um pingo de preparo pra nada, fica estressado com literalmente TUDO que falam dele. Ao invés dele responder as entrevistas de forma séria e consistente, o cara responde "" eu vou te dar o furo"" pra jornalista.......",OFF,1
USER USER desse filme de mongoloide,OFF,1
"Essa juiza ganhou meu respeito em kkkk, parabéns juíza é isso aí tem q botar é rachando msm nesse bandido luladrao",OFF,1
"USER USER USER USER USER Urr durr, xenofóbico fudido do caralho",OFF,1
"mlk até hj dou risada de quando ela mentiu ter pego uma mina só pra ""ficar por cima"" kkkjkkkkkk mais pilantra que eu? ai eu vou ter que zuar",OFF,1
A USER ESCOLHEU O USER USER PARA HUMILHAR O USER. UMA USER 😉 ELA USER DE BOA.,OFF,1
proposta ridícula. ridículo uma empresa precisar fazer isso pra conseguir cliente. galera vem pra UP! www.upessencia.com.br/103774,OFF,1
USER Ya suéltalo a ese mongol que ilusionó a su gente con Lecaros jajajajajajajajaja juraba que el chato jugaría por la o 😂😂,OFF,1
Se eu pudesse mordia meu próprio rabo 😋,OFF,1
USER USER USER Lula ladrão desgraçado representa a corrupção no país,OFF,1
Esse cara nunca foi mendigo 👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀,OFF,1
USER essa que disse que o USER é ridículo deve ser fã de CREPUSCULO e num aguentou ouvir a verdade sobre o filme kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk',OFF,1
Ser LGBT é certo para de espalhar burrice,OFF,1
FAZ CALMA AGR SEU ARROMBADO FUDIDO DO CARALHO,OFF,1
USER Gatinha de pinga ... ladrao,OFF,1
"USER Sinto muito, mas eu também assisti Crepúsculo, gostei do filme, mas tudo o que o USER USER falou é verdade, não dá para negar. O enredo é fraco, é uma garota pateticamente sem sal, mas que todo mundo é louco por ela, desde o garotinho sem graça da escola, até o cara mais bonito e mais popular do colégio, passando pelo amigo de infância,,, Fala sério, né, vamos combinar... E mais: você não tem o direito de mandar ninguém calar a boca! Respeite a opinião dos outros e fique com a sua",OFF,1
"USER,Deus que Isso.So No USER saidinha USER criou essa merda",OFF,1
AH VAI TOMA NO CU DESGRAÇADO URL,OFF,1
"oh burro, como é que não me lembrei da loja ao lado do teatro sá da bandeira",OFF,1
"ueahEUAEHUHEAUHEAUHAE... mano, os cara ficaram puto por isso? aaah!! pelo amor de Deus USER USER",OFF,1
"USER, o país que o cachorro mija no poste, enaltecer um degenerado desse é a prova viva que esse país tem o que merece...",OFF,1
"Ele não faz sexo com a bela porque ele é morto, então ele não tem sangue para endurecer o pinto.",OFF,1
"USER USER a única visibilidade que temos em midia é com coisas ruins como assassinatos, não é nenhum privilégio isso cara, só estamos tentando mudar isso e ser representados como pessoas normais, casais normais e só isso. Essa discursao toda por causa de um video onde mostra todas as formas de amor... É foda",OFF,1
RT USER: Acompáñenme a hacer origami con mi papel de estupida.,OFF,1
"eu preciso de dinheiro, de muito dinheiro. procuro trabalho mas não encontro nada, a cidade está uma merda. eu preciso fazer meus implantes dentários mas não tenho onde cair morto, a faculdade de medicina mais perto daqui fica há 380km e há uma fila imensa para implantes e que também são pagos, apesar de um pouco mais baratos.como eu faço para conseguir dinheiro? puta merda.",OFF,1
"É foda ver gente que provavelmente não tem nenhuma base de marketing querendo dizer que foi um erro, o único erro é a nossa sociedade homofóbica msm",OFF,1
Que bosta de comercial em pqp,OFF,1
So queria ver uns peitos balançando ou uma buceta sendo masturbada... alguem se dispoe? retribuo HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG,OFF,1
"USER eu lamento muito pelo que fizeram com vc. Eu não vejo um USER nazista. Vejo um USER idealista que defende o direito de livre expressão. Roubaram justamente a tua causa de vida. Isso sim foi criminoso. No dia que houver liberdade de expressão, pode-se discutir pra transformar mentes. O nazismo SIM começou a partir do momento que não se permitiu ter outras idéias, a partir do que se estava estabelecido. USER sem vc não é flow. Como fazer um flow sem o USER, sendo o USER?!? 🤔",OFF,1
"USER Eles falam como se a situação de bosta que eles fizeram, fosse a mesma coisa que aconteceu agora. O Scooby é muito sorrateiro e escroto, to passada.",OFF,1
"USER USER nao estou debatendo com USER, estou dizendo que USER esta sendo homofobico e errado, nao sou uma criança, qualquer pessoa que discorde de USER e uma criança? Eu acho que a unica criança aqui e USER ou a sua mentalidade e sim eu estudo muito para ajudar meus pais, mas eu realmente nao ligo para oq USER acha, eu n te conheço e não to afim de conhecer",OFF,1
q porra foi essa?,OFF,1
É muita USER USER sai da boca delas. Chega à da vontade de VOMITAR com esse vocabulário chulo. USER,OFF,1
dar o cu — nenhuma URL,OFF,1
Queria saber oque esse povo besta estão fazendo vendo esse vídeo e pior ainda comentando ... crlho deixa a menina ser feliz ela pelo menos teve coragem de mostrar coisa que muitas gostosonas so da no escuro ... ela esta mostrando o corpo dele em nenhum momento do video vih ela influenciando nenhuma mulher a ser gorda parem de julgar ... Parabéns linda seja oque USER quiser gorda magra quem paga pela sua comida e USER ...,OFF,1
RT USER: Q VIADINHO LINDO VAI SE FODER KAWORU,OFF,1
USER's vendo as cagadas do BK: 🎉🎊🕺🥳🤣,OFF,1
"É tão engraçado a diferença do poder pro querer, o povo fica tipo “bichinha, não pode” eu fico tipo feliz, pq eu sei q escolhi a melhor parte e isso é libertador",OFF,1
"Cara o USER só fala merda puta que pariu, que cara idiota, tinha que ser o jogador de minecraft",OFF,1
"USER Hay papás que no pueden costear una niñera, disculpa los por arruinar tu peda egoista",OFF,1
Meudeus acabei de sair do shopping pra comprar roupa com a minha mae e senhor amado como eu to gorda gorda gorda gordola fatspo nivel th415 c4r14 vou me matar fazer nf de 500 horas e eu tb fui pro cinema comi q nem uma porca vou tentar v0m1tar tudo,OFF,1
Acho que na verdade ela queria era se vingar do corno..foi direto pra frente da casa dela,OFF,1
"vim para deixar meu dislike , alias achei ridículo",OFF,1
teve quebra-pau aqui na academia. veio um cara tirar satisfações de outro pq ele ficou com a mulher dele. o corno levou um soco na cara e caiu no chão,OFF,1
Me desculpem gente mulher nenhuma é Feliz com esse corpo? Ela precisa de tratamento isso é uma doença,OFF,1
USER Demais… cheio de mongoloide nessa porra,OFF,1
Bando de pilantras filhos da /^@HASHTAG,OFF,1
DC vagabunda que cancelou o selo onde tinha o maior detetive junto do Batman isso mesmo o Rorschach Como ousa se chamar de detetive comics se agora eu não vou ter mais meu selo Vertigo com um bando de outro detetives meio abluble das ideia URL,OFF,1
UM ABRAÇO BEM GAY PARA USER 😚🏳🌈🌈,OFF,1
MORO É USER E MENTE E USER USER USER,OFF,1
"USER foda ' parabéns felipe USER , o melhor !",OFF,1
"éramos vos y yo ahora fuck cupido, no soy estúpido lo nuestro era único",OFF,1
só basta uma palavra da minha mãe para que eu me sinta um lixo,OFF,1
"Puta, que, paril, USER é muito virgem, virgem, virgem, virgem, virgem .",OFF,1
VAI COLOCA ORDEM NA CUSERA DELA EU EINNNN.....USER SABE USER FALA USER USER...O USER TRABALHA PRA USERII USER PESUSERUSER USER FALA...ONTEM ELE USER USER USER USER TAVA USER,OFF,1
"USER USER, infelizmente o monark foi longe demais, ele errou MUITO, mais é huUSER errar, mais espero que ele aprenda da pior forma uma lição de vida!",OFF,1
"USER é romântico pra poha USER USER com o mendigo. Uma pele macia, quente, uma voz doce e envolvente. Caray o maluco é USER USER",OFF,1
toma esse ratio seu fudido do caralho URL,OFF,1
"Foi ridículo, não assisti na época Mas acabei de chorar aqui kkkk",OFF,1
"USER USER OUTRO RETARDADO????? Primeiro Me manda UMA matéria da jovem pan MENTIROSA. SEGUNDO toma aqui outras fontes MONGOLOIDE, massa de manobra é assim, não sabe verificar sozinho BBC Bolsonarista! URL FOCUS do time do Ciro URL",OFF,1
Vcs são uns porcarias. USER tem q ser criança.,OFF,1
500 anos de USER e o USER aqui nada mudo,OFF,1
Q coisa mais ridícula,OFF,1
Caralho se fudeu em.,OFF,1
Hoje USER USER fala tudo o contrário a esse vídeo. USER!!!,OFF,1
minha tia ligando p minha prima q disse q ia chegar em cs 2:00 e ta ate agora na rua: CADE VOCE SUA FILHA DA PUTA PARECE QUE GOSTA DE ME IRRITAR,OFF,1
"Uma palhaçada isUSER, USER no brasil existe isUSER... como pode alguem que pato os pais ou os filhos poder sair no dia dos pais! Quanta hipocrisia viu.",OFF,1
"Professor , manda esse inbecil estudar",OFF,1
pqp eu vou usar muito,OFF,1
Pior edição da fazendo kkkk kkkk expulso o único famoso,OFF,1
"USER mesmo. Óbvio que ele não é Nazista. Falou uma merda e se sujou muito com isso. Onde chegar, vai ser taxado de nazista. USER aos dois. USER que ficou com o BO na mão pra resolver, e USER que vai ter uma dureza pela frente.",OFF,1
rt USER esse curso eh coisa de gente retardada mental vsf q porra,OFF,1
USER sim adoro um professor burrinho,OFF,1
USER Diabólico,OFF,1
"USER USER USER USER Esse cara é o líder das RACHADINHAS. Juntamente com uma perfeita... O ex acessor dele abriu a boca no trombone, saiu mais sujeira do que esgoto.... Resumindo: é mais um bandido, vagabundo e oportunista, metendo o pau no Presidente!",OFF,1
USER USER USER Estou falando do Salles ter sido ministro do bolsonaro. De ter defendido madeireira ilegal cortando madeira nobre pra vender a preço de pinho nos quintos dos infernos. Vc é muito mal informado pra alguém tão seguro de que sabe de tudo.,OFF,1
"USER Eu nem falei nada só falei do Cgi que inicialmente tava uma merda, os cara veio me atacar por issokkkkkkkk eu só falei fatos",OFF,1
"E pensar que eu era apaixonada por crepusculo nos meus 13,14 anos hoje tenho 16 e acho uma merda e as falas sem nexo nenhum me arrependo muito de gostar de uma porra dessas",OFF,1
nada pra fazer vou assistir ppv pq sou hipócrita,OFF,1
rt USER fez o puto gemer gostoso no pauzão URL,OFF,1
USER Esse ladrão do Lula é mesmo um demente e um psicopata!!!!,OFF,1
USER todynho é muito USER E o USER é vacilão Mas tudo ela quer resolver no grito e achar que pode peitar todo mundo USER isso,OFF,1
Pode dar aulas pra homens escrotos .,OFF,1
Até quando o povo brasileiro vão usar a viseira de cego esse Presidente é um doido quando ter um derramamento de sangue é que o povo vão ver as consequências acorda povo,OFF,1
USER seu filho de uma puta desgraçado. Isso te ofendeu juiz ladrão? se prepara pq vcs são bandidos e o tratamento vai ser na altura,OFF,1
"ele fala bem tudo mais, mas USER USER votou no Bolso, ti fude Givanildo !!!",OFF,1
caraio eu so burra eu tenho o MEU IRMÃO q eh tipo uma josi sem diploma (poxa henrique trancou o curso no último ano isso q da ser macoero) p me explica as coisa vivaaaaaaaa,OFF,1
USER voce so gosta d sapatao caminhoeira de cabelo rapado,OFF,1
Vocês não sabem o orgulho que eu tenho vendo uma menina negra virar médica. Um jovem negro virando advogado. Me dá vontade sair na rua e ir pra estrada pagar promessa. HASHTAG,OFF,1
USER Tiene la fortaleza de un psicópata narcisista 🤷🏻‍♀️,OFF,1
"É um crime hororroso não aceitar que esta é a realidade hoje em dia, crianças lgbts são mais comuns do que pensa, é uma maldade imensuravel pessoas idiotas querendo esconder o preconceito culpando outro alguem que está de fato querendo ajudar, vcs adustos comentando merda nesse anuncio me dão vergonha! Sinceramente.",OFF,1
USER CERTICIMA POHA USER E USER DEMAIS USER USER MACHUSER ESCROTUSER USER USER USER DA FAZENDA ESTAO RIUBANDO DUSER USER ESCROTUSER,OFF,1
"USER essa galera de pod USER tem que chamar entrevistado oreia igual eles, pra parar de passar vergonha 😂😂😂😂",OFF,1
"""um dedo quente nesse cu gelado"" kkkkkkkkkkkkkkkkkkkkkkkkkkk",OFF,1
Mulher folgada eu mandava tnc e nao levantava,OFF,1
USER USER USER USER Vc já parou pra pensar que a mulher sentiu atração por ele e o chidrudo do marido mandou essa de surto pra não ser o cornão? De repente a mulher cansou do homem e realmente surtou pra mostrar q é livre mas tava consciente? O mendigo devia tá na seca tbm,OFF,1
"Não entendo porquê não aceitam logo que o USER vai ganhar. É foda, mas enfim... kkkkkk",OFF,1
"USER tava na hora de alguem divulgar os ""pontos negativos"" de crepusculo! (apesar de não ter pontos positivos nessa merda mas enfim...)",OFF,1
"RT USER: na moral, só tem mongoloide na minha escola",OFF,1
"USER o seu erro... Foi ter deixado o USER falar sem repreender ele... Sendo assim, impossível seguir este canal... USER USER errou feio!!",OFF,1
'-' USER fudeu ;P,OFF,1
USER De cair o cu da bunda,OFF,1
USER USER de vampiro gay,OFF,1
"Os caras do xbox mil grau deve estar rindo ... Drogas comeram o cérebro do Monark , que é um cara que tem insights de genialidade e bestialidade . Fico triste, nem sei o que vai ser do flow sem Monark .",OFF,1
"USER só te levou pro buraco Igor, que bom que pôde se levantar e seguir seu caminho daqui pra frente. Pelo monark só lamento, ele continua achando que só se expressou mal, que entenderam errado, que estava bebado… nem no fundo do poço consegue entender a merda que fez.",OFF,1
"USER tocou o berrante aí os gados cegos vieram em meio da pandemia, no meio da aglomeração endeusar seu mestre, aí se aumentar a quarentena e o número de mortos por causa da pandemia já sabemos quem são os culpados inclusive o próprio presidente da República",OFF,1
USER USER USER !!! nunca mais !!!,OFF,1
RT USER: USER Plantamos um bando de canalhas! Agora pagamos o preço!,OFF,1
Ele tá certo deixa a maluca gritar com ele ele fica calado fingindo que não tá ouvindo porque uma pessoa que discute com louco e louco tbm USER campeão ele calado mitou aceitem,OFF,1
"A falsidade começa no aperto de mão fi, sinto de longe por isso sou fodase p muita coisa ✌🏻",OFF,1
USER da vigarice comunavirus esquerda se fudeu já era intervenção militar já nos dois poderes legislativo e judiciário,OFF,1
"Muda o conteúdo cara, não caí na depressão denovo por favor, volta com as gameplays ou vlogs, não se envolve em tretas por favor, mas não desiste a gente gosta de você, muito, mas para com isso monark ):",OFF,1
RT USER: USER !!!HIPOCRITA!!! MEJOR QUEDATE CALLADO IDIOTA..,OFF,1
USER USER tudo bem nossa mae gritar com nós e nós ficar quieto porque é mãe. USER também nao ia gostar alguém gritando na sua cabeça e USER falar nada,OFF,1
"USER USER mas eu não falei dele, falo dos doentes USERue saem de casa p apoiar presidente, tem USER lembrar USER ñ tem USER babar ovo de presidente, ja USER ele é USERue tem USER ser funcionário da nação",OFF,1
"O caso não é o USER, é o sistema que é podre e tem que ser exterminado, para que tenhamos eleições limpas, como tem que ser a segurança para ele, a nação esta nas mãos dos corruptos e oportunistas, se alguém incomoda simplesmente eliminam, como ter eleições com toda essa sujeira",OFF,1
Tudo que vêm da Globo é lixo,OFF,1
Essa jojo só USER com esse biel USER ele é bobo mas as vezes não vale a pena responder etc uma hora acha um pra enfrentar ela 😂😂😂,OFF,1
Coloca logo essa mal educada na cadeia,OFF,1
USER Deixa de ser calhorda seu safado,OFF,1
USER? Passa essa bosta ainda?,OFF,1
USER to louca p ver ele em pachinko por isso vi q o personagem eh meio canalha ne veremos,OFF,1
Foi querer lacrar igual faz com o uso da maconha e se deu mal. O cara tem argumentos de merda...,OFF,1
kk a USER é uma virgem tem menos de 13 anos só pq ta na moda gosta de crepusculo essas mina tão até se matando só pra fica popular.. T_T ',OFF,1
"Meu USER, esse cara é um doente. É um ator e está se vingado do esposo falando detalhes da relação que teve essa pobre mulher. Não conseguiu me convencer com esse teatro. Se ele fosse um homem de caráter, não ficaria com esse discurso . USER, USER e USER....",OFF,1
"USER kkkk eu espero que esse lula ganhe e termine de acaba com brasil é só o que vocês merece mesmo , vou esta de camarote assistindo a merda que vocês fez",OFF,1
EU SO ME FODO NESSE INFERNO QM DISSE Q EU QUERO VIVER URL,OFF,1
USER Ladrão filho de uma puta,OFF,1
Lixo de marketing. USER USER,OFF,1
"É muito mais fácil e cômodo descer a porrada no cara agora! O cara falou merda!!! FATO, reconheceu se foi por que quis ou porque precisou, depois ele se entende com a consciência dele! Mas assim como nós ele precisa de ajuda! A cachaça tem que parar, pagando um preço altíssimo agora e a maconha UUSER … Mas é a vida dele, não vou concordar com muitas coisas, mas não posso atacar o mano também! “UUSER O UUSER UUSER QUE O UUSER SE ESFRIARÁ”, eu já penso que chegou!!! Hahaha Não estou defendendo a fala dele ou ele, só estou dizendo que podemos agir melhor como ouvintes, fans do programa e USER HUMANO! E USER ✌️ SALVE SALVE USER 😉",OFF,1
USER e um idiota ultil. USER destruiu a hipocrisia e a bolha do monark USER,OFF,1
esse nate merece mil tiros no meio do cu dele fdp fdp fdpppp,OFF,1
Que sorprende la gente hipócrita,OFF,1
crepusculo é uma bosta!,OFF,1
"Putinha dos EUA, ultrapassa todos os limites do bom senso",OFF,1
"Ele viajou na moral! 🤣 ""USER chamas e merda"" kkkkkk",OFF,1
"e a europa COMO SEMPRE SENDO INÚTIL não conseguindo ser autossuficiente é sempre nos que pagamos a conta, e depois querem falar dos países emergentes PILANTRAS URL",OFF,1
"dedo quente nesse,cu gelado kkk rachei",OFF,1
"a stephanie eh uma escritora horrorosa, com descrições infantis, personagens sem nenhum atrativo, ela simplesmente não teve base nenhuma no que ela criou.... e SAGA ? QUE USER ? SAGA entende-se pela literatura como um conto épico onde o destino de muitas pessoas está em jogo, como o ultimo samurai, star wars e senhor dos aneis.... USER USER USER USER USER suas crepúsculetes",OFF,1
"A verdade é que o USER não vai sair, ele vai continuar ganhando dinheiro com o programa só que ele não vai apresentar mais... USER É QUEM USER QUE USER VAI SAIR DE FORMA DEFINITIVA... O POVO LEIGO DA USER",OFF,1
JÁ USER USER USER USER! NÃO TEM UM NEGROOOOOO!!!!! USER,OFF,1
"O que está no limite é a capacidade do meu saco com o bozo.O que estão esperando para impedir esse louco?. Entre a falência da Globo e o impeachment do bozo,eu cravo a coluna dois. Fora bozo!!!",OFF,1
a cara de canalha aqui URL,OFF,1
Gays 😒 USER fez o mundo pra os homens casarem com mulheres e vice versa..,OFF,1
nós é muito bom pra quem não merece porra nenhuma 👎,OFF,1
De dónde corno viene el famoso pew pew madafakas?????? 😵‍💫😵‍💫😵‍💫😵‍💫,OFF,1
EU ODEIO SEU CANAL O VIDEO DA KEFERA OU QUE SERIA 5INCO MINUTOS É USER MELHOR,OFF,1
"Isso é um desrespeito para nós Brasileiros, não sei quem inventou isso, é ridículo, tinha q ter cadeia perpétua, já q não querem pena de morte",OFF,1
"O cara realmente era muito fraco e o despreparo derrubou ele, só falava Merda",OFF,1
"maldito sea el día que elegí el cole en donde estoyy, orientación en programaciónnnnn🤌🏼🤌🏼🤌🏼🤌🏼🤌🏼",OFF,1
"USER, o cara é mendigo e votou e vai votar novamente em Bolsonaro??? USER toda essa ""inteligência"" dele foi anulada kkkkk",OFF,1
